,MONATSZAHL,AUSPRAEGUNG,JAHR,MONAT,WERT
613,Alkoholunfälle,Verletzte und Getötete,2002,07,40.0
614,Alkoholunfälle,Verletzte und Getötete,2002,08,29.0
615,Alkoholunfälle,Verletzte und Getötete,2002,09,51.0
616,Alkoholunfälle,Verletzte und Getötete,2002,10,53.0
617,Alkoholunfälle,Verletzte und Getötete,2002,11,10.0
618,Alkoholunfälle,Verletzte und Getötete,2002,12,27.0
620,Alkoholunfälle,Verletzte und Getötete,2001,01,36.0
621,Alkoholunfälle,Verletzte und Getötete,2001,02,20.0
622,Alkoholunfälle,Verletzte und Getötete,2001,03,36.0
623,Alkoholunfälle,Verletzte und Getötete,2001,04,32.0
624,Alkoholunfälle,Verletzte und Getötete,2001,05,32.0
625,Alkoholunfälle,Verletzte und Getötete,2001,06,46.0
626,Alkoholunfälle,Verletzte und Getötete,2001,07,35.0
627,Alkoholunfälle,Verletzte und Getötete,2001,08,21.0
628,Alkoholunfälle,Verletzte und Getötete,2001,09,48.0
629,Alkoholunfälle,Verletzte und Getötete,2001,10,37.0
630,Alkoholunfälle,Verletzte und Getötete,2001,11,25.0
631,Alkoholunfälle,Verletzte und Getötete,2001,12,23.0
632,Alkoholunfälle,Verletzte und Getötete,2000,01,37.0
633,Alkoholunfälle,Verletzte und Getötete,2000,02,19.0
634,Alkoholunfälle,Verletzte und Getötete,2000,03,18.0
635,Alkoholunfälle,Verletzte und Getötete,2000,04,26.0
636,Alkoholunfälle,Verletzte und Getötete,2000,05,44.0
637,Alkoholunfälle,Verletzte und Getötete,2000,06,32.0
638,Alkoholunfälle,Verletzte und Getötete,2000,07,37.0
639,Alkoholunfälle,Verletzte und Getötete,2000,08,32.0
640,Alkoholunfälle,Verletzte und Getötete,2000,09,45.0
641,Alkoholunfälle,Verletzte und Getötete,2000,10,31.0
642,Alkoholunfälle,Verletzte und Getötete,2000,11,24.0
643,Alkoholunfälle,Verletzte und Getötete,2000,12,31.0
695,Fluchtunfälle,insgesamt,2020,01,791.0
696,Fluchtunfälle,insgesamt,2020,02,870.0
697,Fluchtunfälle,insgesamt,2020,03,744.0
698,Fluchtunfälle,insgesamt,2020,04,607.0
699,Fluchtunfälle,insgesamt,2020,05,859.0
700,Fluchtunfälle,insgesamt,2020,06,905.0
701,Fluchtunfälle,insgesamt,2020,07,1010.0
702,Fluchtunfälle,insgesamt,2020,08,735.0
703,Fluchtunfälle,insgesamt,2020,09,948.0
704,Fluchtunfälle,insgesamt,2020,10,997.0
705,Fluchtunfälle,insgesamt,2020,11,864.0
706,Fluchtunfälle,insgesamt,2020,12,694.0
708,Fluchtunfälle,insgesamt,2019,01,927.0
709,Fluchtunfälle,insgesamt,2019,02,883.0
710,Fluchtunfälle,insgesamt,2019,03,1005.0
711,Fluchtunfälle,insgesamt,2019,04,967.0
712,Fluchtunfälle,insgesamt,2019,05,1014.0
713,Fluchtunfälle,insgesamt,2019,06,994.0
714,Fluchtunfälle,insgesamt,2019,07,1187.0
715,Fluchtunfälle,insgesamt,2019,08,820.0
716,Fluchtunfälle,insgesamt,2019,09,996.0
717,Fluchtunfälle,insgesamt,2019,10,1088.0
718,Fluchtunfälle,insgesamt,2019,11,967.0
719,Fluchtunfälle,insgesamt,2019,12,925.0
721,Fluchtunfälle,insgesamt,2018,01,860.0
722,Fluchtunfälle,insgesamt,2018,02,774.0
723,Fluchtunfälle,insgesamt,2018,03,954.0
724,Fluchtunfälle,insgesamt,2018,04,1010.0
725,Fluchtunfälle,insgesamt,2018,05,994.0
726,Fluchtunfälle,insgesamt,2018,06,1034.0
727,Fluchtunfälle,insgesamt,2018,07,1151.0
728,Fluchtunfälle,insgesamt,2018,08,813.0
729,Fluchtunfälle,insgesamt,2018,09,1102.0
730,Fluchtunfälle,insgesamt,2018,10,1127.0
731,Fluchtunfälle,insgesamt,2018,11,929.0
732,Fluchtunfälle,insgesamt,2018,12,900.0
734,Fluchtunfälle,insgesamt,2017,01,690.0
735,Fluchtunfälle,insgesamt,2017,02,846.0
736,Fluchtunfälle,insgesamt,2017,03,1060.0
737,Fluchtunfälle,insgesamt,2017,04,895.0
738,Fluchtunfälle,insgesamt,2017,05,1070.0
739,Fluchtunfälle,insgesamt,2017,06,948.0
740,Fluchtunfälle,insgesamt,2017,07,1064.0
741,Fluchtunfälle,insgesamt,2017,08,831.0
742,Fluchtunfälle,insgesamt,2017,09,1009.0
743,Fluchtunfälle,insgesamt,2017,10,1052.0
744,Fluchtunfälle,insgesamt,2017,11,925.0
745,Fluchtunfälle,insgesamt,2017,12,873.0
747,Fluchtunfälle,insgesamt,2016,01,777.0
748,Fluchtunfälle,insgesamt,2016,02,775.0
749,Fluchtunfälle,insgesamt,2016,03,898.0
750,Fluchtunfälle,insgesamt,2016,04,998.0
751,Fluchtunfälle,insgesamt,2016,05,850.0
752,Fluchtunfälle,insgesamt,2016,06,1018.0
753,Fluchtunfälle,insgesamt,2016,07,1095.0
754,Fluchtunfälle,insgesamt,2016,08,958.0
755,Fluchtunfälle,insgesamt,2016,09,958.0
756,Fluchtunfälle,insgesamt,2016,10,1022.0
757,Fluchtunfälle,insgesamt,2016,11,960.0
758,Fluchtunfälle,insgesamt,2016,12,870.0
760,Fluchtunfälle,insgesamt,2015,01,781.0
761,Fluchtunfälle,insgesamt,2015,02,713.0
762,Fluchtunfälle,insgesamt,2015,03,908.0
763,Fluchtunfälle,insgesamt,2015,04,966.0
764,Fluchtunfälle,insgesamt,2015,05,940.0
765,Fluchtunfälle,insgesamt,2015,06,952.0
766,Fluchtunfälle,insgesamt,2015,07,1176.0
767,Fluchtunfälle,insgesamt,2015,08,864.0
768,Fluchtunfälle,insgesamt,2015,09,1007.0
769,Fluchtunfälle,insgesamt,2015,10,1110.0
770,Fluchtunfälle,insgesamt,2015,11,991.0
771,Fluchtunfälle,insgesamt,2015,12,950.0
773,Fluchtunfälle,insgesamt,2014,01,778.0
774,Fluchtunfälle,insgesamt,2014,02,742.0
775,Fluchtunfälle,insgesamt,2014,03,993.0
776,Fluchtunfälle,insgesamt,2014,04,946.0
777,Fluchtunfälle,insgesamt,2014,05,925.0
778,Fluchtunfälle,insgesamt,2014,06,880.0
779,Fluchtunfälle,insgesamt,2014,07,1029.0
780,Fluchtunfälle,insgesamt,2014,08,802.0
781,Fluchtunfälle,insgesamt,2014,09,936.0
782,Fluchtunfälle,insgesamt,2014,10,1042.0
783,Fluchtunfälle,insgesamt,2014,11,943.0
784,Fluchtunfälle,insgesamt,2014,12,830.0
786,Fluchtunfälle,insgesamt,2013,01,796.0
787,Fluchtunfälle,insgesamt,2013,02,773.0
788,Fluchtunfälle,insgesamt,2013,03,906.0
789,Fluchtunfälle,insgesamt,2013,04,1038.0
790,Fluchtunfälle,insgesamt,2013,05,848.0
791,Fluchtunfälle,insgesamt,2013,06,1055.0
792,Fluchtunfälle,insgesamt,2013,07,1138.0
793,Fluchtunfälle,insgesamt,2013,08,791.0
794,Fluchtunfälle,insgesamt,2013,09,1000.0
795,Fluchtunfälle,insgesamt,2013,10,1074.0
796,Fluchtunfälle,insgesamt,2013,11,939.0
797,Fluchtunfälle,insgesamt,2013,12,828.0
799,Fluchtunfälle,insgesamt,2012,01,713.0
800,Fluchtunfälle,insgesamt,2012,02,714.0
801,Fluchtunfälle,insgesamt,2012,03,946.0
802,Fluchtunfälle,insgesamt,2012,04,919.0
803,Fluchtunfälle,insgesamt,2012,05,1035.0
804,Fluchtunfälle,insgesamt,2012,06,1041.0
805,Fluchtunfälle,insgesamt,2012,07,1045.0
806,Fluchtunfälle,insgesamt,2012,08,887.0
807,Fluchtunfälle,insgesamt,2012,09,921.0
808,Fluchtunfälle,insgesamt,2012,10,1090.0
809,Fluchtunfälle,insgesamt,2012,11,984.0
810,Fluchtunfälle,insgesamt,2012,12,810.0
812,Fluchtunfälle,insgesamt,2011,01,726.0
813,Fluchtunfälle,insgesamt,2011,02,760.0
814,Fluchtunfälle,insgesamt,2011,03,883.0
815,Fluchtunfälle,insgesamt,2011,04,835.0
816,Fluchtunfälle,insgesamt,2011,05,1034.0
817,Fluchtunfälle,insgesamt,2011,06,783.0
818,Fluchtunfälle,insgesamt,2011,07,951.0
819,Fluchtunfälle,insgesamt,2011,08,790.0
820,Fluchtunfälle,insgesamt,2011,09,906.0
821,Fluchtunfälle,insgesamt,2011,10,916.0
822,Fluchtunfälle,insgesamt,2011,11,842.0
823,Fluchtunfälle,insgesamt,2011,12,832.0
825,Fluchtunfälle,insgesamt,2010,01,613.0
826,Fluchtunfälle,insgesamt,2010,02,683.0
827,Fluchtunfälle,insgesamt,2010,03,829.0
828,Fluchtunfälle,insgesamt,2010,04,938.0
829,Fluchtunfälle,insgesamt,2010,05,743.0
830,Fluchtunfälle,insgesamt,2010,06,814.0
831,Fluchtunfälle,insgesamt,2010,07,932.0
832,Fluchtunfälle,insgesamt,2010,08,794.0
833,Fluchtunfälle,insgesamt,2010,09,955.0
834,Fluchtunfälle,insgesamt,2010,10,910.0
835,Fluchtunfälle,insgesamt,2010,11,827.0
836,Fluchtunfälle,insgesamt,2010,12,861.0
838,Fluchtunfälle,insgesamt,2009,01,512.0
839,Fluchtunfälle,insgesamt,2009,02,802.0
840,Fluchtunfälle,insgesamt,2009,03,607.0
841,Fluchtunfälle,insgesamt,2009,04,776.0
842,Fluchtunfälle,insgesamt,2009,05,768.0
843,Fluchtunfälle,insgesamt,2009,06,678.0
844,Fluchtunfälle,insgesamt,2009,07,991.0
845,Fluchtunfälle,insgesamt,2009,08,752.0
846,Fluchtunfälle,insgesamt,2009,09,846.0
847,Fluchtunfälle,insgesamt,2009,10,953.0
848,Fluchtunfälle,insgesamt,2009,11,835.0
849,Fluchtunfälle,insgesamt,2009,12,747.0
851,Fluchtunfälle,insgesamt,2008,01,727.0
852,Fluchtunfälle,insgesamt,2008,02,793.0
853,Fluchtunfälle,insgesamt,2008,03,763.0
854,Fluchtunfälle,insgesamt,2008,04,837.0
855,Fluchtunfälle,insgesamt,2008,05,871.0
856,Fluchtunfälle,insgesamt,2008,06,859.0
857,Fluchtunfälle,insgesamt,2008,07,832.0
858,Fluchtunfälle,insgesamt,2008,08,760.0
859,Fluchtunfälle,insgesamt,2008,09,747.0
860,Fluchtunfälle,insgesamt,2008,10,874.0
861,Fluchtunfälle,insgesamt,2008,11,625.0
862,Fluchtunfälle,insgesamt,2008,12,657.0
864,Fluchtunfälle,insgesamt,2007,01,699.0
865,Fluchtunfälle,insgesamt,2007,02,612.0
866,Fluchtunfälle,insgesamt,2007,03,411.0
867,Fluchtunfälle,insgesamt,2007,04,821.0
868,Fluchtunfälle,insgesamt,2007,05,858.0
869,Fluchtunfälle,insgesamt,2007,06,804.0
870,Fluchtunfälle,insgesamt,2007,07,935.0
871,Fluchtunfälle,insgesamt,2007,08,759.0
872,Fluchtunfälle,insgesamt,2007,09,797.0
873,Fluchtunfälle,insgesamt,2007,10,873.0
874,Fluchtunfälle,insgesamt,2007,11,868.0
875,Fluchtunfälle,insgesamt,2007,12,690.0
877,Fluchtunfälle,insgesamt,2006,01,708.0
878,Fluchtunfälle,insgesamt,2006,02,698.0
879,Fluchtunfälle,insgesamt,2006,03,1138.0
880,Fluchtunfälle,insgesamt,2006,04,750.0
881,Fluchtunfälle,insgesamt,2006,05,476.0
882,Fluchtunfälle,insgesamt,2006,06,565.0
883,Fluchtunfälle,insgesamt,2006,07,845.0
884,Fluchtunfälle,insgesamt,2006,08,774.0
885,Fluchtunfälle,insgesamt,2006,09,718.0
886,Fluchtunfälle,insgesamt,2006,10,599.0
887,Fluchtunfälle,insgesamt,2006,11,494.0
888,Fluchtunfälle,insgesamt,2006,12,864.0
890,Fluchtunfälle,insgesamt,2005,01,749.0
891,Fluchtunfälle,insgesamt,2005,02,961.0
892,Fluchtunfälle,insgesamt,2005,03,1115.0
893,Fluchtunfälle,insgesamt,2005,04,937.0
894,Fluchtunfälle,insgesamt,2005,05,902.0
895,Fluchtunfälle,insgesamt,2005,06,901.0
896,Fluchtunfälle,insgesamt,2005,07,951.0
897,Fluchtunfälle,insgesamt,2005,08,811.0
898,Fluchtunfälle,insgesamt,2005,09,1086.0
899,Fluchtunfälle,insgesamt,2005,10,962.0
900,Fluchtunfälle,insgesamt,2005,11,845.0
901,Fluchtunfälle,insgesamt,2005,12,817.0
903,Fluchtunfälle,insgesamt,2004,01,828.0
904,Fluchtunfälle,insgesamt,2004,02,723.0
905,Fluchtunfälle,insgesamt,2004,03,817.0
906,Fluchtunfälle,insgesamt,2004,04,875.0
907,Fluchtunfälle,insgesamt,2004,05,867.0
908,Fluchtunfälle,insgesamt,2004,06,859.0
909,Fluchtunfälle,insgesamt,2004,07,970.0
910,Fluchtunfälle,insgesamt,2004,08,784.0
911,Fluchtunfälle,insgesamt,2004,09,957.0
912,Fluchtunfälle,insgesamt,2004,10,1022.0
913,Fluchtunfälle,insgesamt,2004,11,903.0
914,Fluchtunfälle,insgesamt,2004,12,942.0
916,Fluchtunfälle,insgesamt,2003,01,747.0
917,Fluchtunfälle,insgesamt,2003,02,572.0
918,Fluchtunfälle,insgesamt,2003,03,854.0
919,Fluchtunfälle,insgesamt,2003,04,844.0
920,Fluchtunfälle,insgesamt,2003,05,763.0
921,Fluchtunfälle,insgesamt,2003,06,855.0
922,Fluchtunfälle,insgesamt,2003,07,562.0
923,Fluchtunfälle,insgesamt,2003,08,698.0
924,Fluchtunfälle,insgesamt,2003,09,945.0
925,Fluchtunfälle,insgesamt,2003,10,960.0
926,Fluchtunfälle,insgesamt,2003,11,953.0
927,Fluchtunfälle,insgesamt,2003,12,858.0
929,Fluchtunfälle,insgesamt,2002,01,852.0
930,Fluchtunfälle,insgesamt,2002,02,817.0
931,Fluchtunfälle,insgesamt,2002,03,897.0
932,Fluchtunfälle,insgesamt,2002,04,784.0
933,Fluchtunfälle,insgesamt,2002,05,857.0
934,Fluchtunfälle,insgesamt,2002,06,987.0
935,Fluchtunfälle,insgesamt,2002,07,1026.0
936,Fluchtunfälle,insgesamt,2002,08,785.0
937,Fluchtunfälle,insgesamt,2002,09,1039.0
938,Fluchtunfälle,insgesamt,2002,10,1019.0
939,Fluchtunfälle,insgesamt,2002,11,882.0
940,Fluchtunfälle,insgesamt,2002,12,706.0
942,Fluchtunfälle,insgesamt,2001,01,871.0
943,Fluchtunfälle,insgesamt,2001,02,820.0
944,Fluchtunfälle,insgesamt,2001,03,962.0
945,Fluchtunfälle,insgesamt,2001,04,897.0
946,Fluchtunfälle,insgesamt,2001,05,1081.0
947,Fluchtunfälle,insgesamt,2001,06,905.0
948,Fluchtunfälle,insgesamt,2001,07,1047.0
949,Fluchtunfälle,insgesamt,2001,08,814.0
950,Fluchtunfälle,insgesamt,2001,09,953.0
951,Fluchtunfälle,insgesamt,2001,10,1104.0
952,Fluchtunfälle,insgesamt,2001,11,1001.0
953,Fluchtunfälle,insgesamt,2001,12,941.0
954,Fluchtunfälle,insgesamt,2000,01,835.0
955,Fluchtunfälle,insgesamt,2000,02,890.0
956,Fluchtunfälle,insgesamt,2000,03,974.0
957,Fluchtunfälle,insgesamt,2000,04,834.0
958,Fluchtunfälle,insgesamt,2000,05,1086.0
959,Fluchtunfälle,insgesamt,2000,06,842.0
960,Fluchtunfälle,insgesamt,2000,07,1102.0
961,Fluchtunfälle,insgesamt,2000,08,881.0
962,Fluchtunfälle,insgesamt,2000,09,978.0
963,Fluchtunfälle,insgesamt,2000,10,1078.0
964,Fluchtunfälle,insgesamt,2000,11,1017.0
965,Fluchtunfälle,insgesamt,2000,12,950.0
1017,Fluchtunfälle,Verletzte und Getötete,2020,01,28.0
1018,Fluchtunfälle,Verletzte und Getötete,2020,02,34.0
1019,Fluchtunfälle,Verletzte und Getötete,2020,03,33.0
1020,Fluchtunfälle,Verletzte und Getötete,2020,04,34.0
1021,Fluchtunfälle,Verletzte und Getötete,2020,05,34.0
1022,Fluchtunfälle,Verletzte und Getötete,2020,06,49.0
1023,Fluchtunfälle,Verletzte und Getötete,2020,07,58.0
1024,Fluchtunfälle,Verletzte und Getötete,2020,08,36.0
1025,Fluchtunfälle,Verletzte und Getötete,2020,09,49.0
1026,Fluchtunfälle,Verletzte und Getötete,2020,10,50.0
1027,Fluchtunfälle,Verletzte und Getötete,2020,11,27.0
1028,Fluchtunfälle,Verletzte und Getötete,2020,12,33.0
1030,Fluchtunfälle,Verletzte und Getötete,2019,01,32.0
1031,Fluchtunfälle,Verletzte und Getötete,2019,02,26.0
1032,Fluchtunfälle,Verletzte und Getötete,2019,03,44.0
1033,Fluchtunfälle,Verletzte und Getötete,2019,04,35.0
1034,Fluchtunfälle,Verletzte und Getötete,2019,05,41.0
1035,Fluchtunfälle,Verletzte und Getötete,2019,06,61.0
1036,Fluchtunfälle,Verletzte und Getötete,2019,07,81.0
1037,Fluchtunfälle,Verletzte und Getötete,2019,08,37.0
1038,Fluchtunfälle,Verletzte und Getötete,2019,09,55.0
1039,Fluchtunfälle,Verletzte und Getötete,2019,10,45.0
1040,Fluchtunfälle,Verletzte und Getötete,2019,11,41.0
1041,Fluchtunfälle,Verletzte und Getötete,2019,12,43.0
1043,Fluchtunfälle,Verletzte und Getötete,2018,01,40.0
1044,Fluchtunfälle,Verletzte und Getötete,2018,02,40.0
1045,Fluchtunfälle,Verletzte und Getötete,2018,03,35.0
1046,Fluchtunfälle,Verletzte und Getötete,2018,04,44.0
1047,Fluchtunfälle,Verletzte und Getötete,2018,05,43.0
1048,Fluchtunfälle,Verletzte und Getötete,2018,06,49.0
1049,Fluchtunfälle,Verletzte und Getötete,2018,07,72.0
1050,Fluchtunfälle,Verletzte und Getötete,2018,08,39.0
1051,Fluchtunfälle,Verletzte und Getötete,2018,09,59.0
1052,Fluchtunfälle,Verletzte und Getötete,2018,10,60.0
1053,Fluchtunfälle,Verletzte und Getötete,2018,11,37.0
1054,Fluchtunfälle,Verletzte und Getötete,2018,12,37.0
1056,Fluchtunfälle,Verletzte und Getötete,2017,01,22.0
1057,Fluchtunfälle,Verletzte und Getötete,2017,02,41.0
1058,Fluchtunfälle,Verletzte und Getötete,2017,03,36.0
1059,Fluchtunfälle,Verletzte und Getötete,2017,04,36.0
1060,Fluchtunfälle,Verletzte und Getötete,2017,05,60.0
1061,Fluchtunfälle,Verletzte und Getötete,2017,06,54.0
1062,Fluchtunfälle,Verletzte und Getötete,2017,07,65.0
1063,Fluchtunfälle,Verletzte und Getötete,2017,08,38.0
1064,Fluchtunfälle,Verletzte und Getötete,2017,09,59.0
1065,Fluchtunfälle,Verletzte und Getötete,2017,10,59.0
1066,Fluchtunfälle,Verletzte und Getötete,2017,11,48.0
1067,Fluchtunfälle,Verletzte und Getötete,2017,12,33.0
1069,Fluchtunfälle,Verletzte und Getötete,2016,01,31.0
1070,Fluchtunfälle,Verletzte und Getötete,2016,02,24.0
1071,Fluchtunfälle,Verletzte und Getötete,2016,03,41.0
1072,Fluchtunfälle,Verletzte und Getötete,2016,04,42.0
1073,Fluchtunfälle,Verletzte und Getötete,2016,05,44.0
1074,Fluchtunfälle,Verletzte und Getötete,2016,06,54.0
1075,Fluchtunfälle,Verletzte und Getötete,2016,07,61.0
1076,Fluchtunfälle,Verletzte und Getötete,2016,08,70.0
1077,Fluchtunfälle,Verletzte und Getötete,2016,09,70.0
1078,Fluchtunfälle,Verletzte und Getötete,2016,10,44.0
1079,Fluchtunfälle,Verletzte und Getötete,2016,11,32.0
1080,Fluchtunfälle,Verletzte und Getötete,2016,12,35.0
1082,Fluchtunfälle,Verletzte und Getötete,2015,01,19.0
1083,Fluchtunfälle,Verletzte und Getötete,2015,02,18.0
1084,Fluchtunfälle,Verletzte und Getötete,2015,03,49.0
1085,Fluchtunfälle,Verletzte und Getötete,2015,04,45.0
1086,Fluchtunfälle,Verletzte und Getötete,2015,05,41.0
1087,Fluchtunfälle,Verletzte und Getötete,2015,06,54.0
1088,Fluchtunfälle,Verletzte und Getötete,2015,07,65.0
1089,Fluchtunfälle,Verletzte und Getötete,2015,08,36.0
1090,Fluchtunfälle,Verletzte und Getötete,2015,09,49.0
1091,Fluchtunfälle,Verletzte und Getötete,2015,10,52.0
1092,Fluchtunfälle,Verletzte und Getötete,2015,11,43.0
1093,Fluchtunfälle,Verletzte und Getötete,2015,12,38.0
1095,Fluchtunfälle,Verletzte und Getötete,2014,01,29.0
1096,Fluchtunfälle,Verletzte und Getötete,2014,02,22.0
1097,Fluchtunfälle,Verletzte und Getötete,2014,03,46.0
1098,Fluchtunfälle,Verletzte und Getötete,2014,04,55.0
1099,Fluchtunfälle,Verletzte und Getötete,2014,05,50.0
1100,Fluchtunfälle,Verletzte und Getötete,2014,06,58.0
1101,Fluchtunfälle,Verletzte und Getötete,2014,07,62.0
1102,Fluchtunfälle,Verletzte und Getötete,2014,08,43.0
1103,Fluchtunfälle,Verletzte und Getötete,2014,09,60.0
1104,Fluchtunfälle,Verletzte und Getötete,2014,10,55.0
1105,Fluchtunfälle,Verletzte und Getötete,2014,11,42.0
1106,Fluchtunfälle,Verletzte und Getötete,2014,12,35.0
1108,Fluchtunfälle,Verletzte und Getötete,2013,01,29.0
1109,Fluchtunfälle,Verletzte und Getötete,2013,02,22.0
1110,Fluchtunfälle,Verletzte und Getötete,2013,03,33.0
1111,Fluchtunfälle,Verletzte und Getötete,2013,04,50.0
1112,Fluchtunfälle,Verletzte und Getötete,2013,05,43.0
1113,Fluchtunfälle,Verletzte und Getötete,2013,06,54.0
1114,Fluchtunfälle,Verletzte und Getötete,2013,07,68.0
1115,Fluchtunfälle,Verletzte und Getötete,2013,08,36.0
1116,Fluchtunfälle,Verletzte und Getötete,2013,09,53.0
1117,Fluchtunfälle,Verletzte und Getötete,2013,10,53.0
1118,Fluchtunfälle,Verletzte und Getötete,2013,11,53.0
1119,Fluchtunfälle,Verletzte und Getötete,2013,12,27.0
1121,Fluchtunfälle,Verletzte und Getötete,2012,01,32.0
1122,Fluchtunfälle,Verletzte und Getötete,2012,02,20.0
1123,Fluchtunfälle,Verletzte und Getötete,2012,03,44.0
1124,Fluchtunfälle,Verletzte und Getötete,2012,04,37.0
1125,Fluchtunfälle,Verletzte und Getötete,2012,05,64.0
1126,Fluchtunfälle,Verletzte und Getötete,2012,06,61.0
1127,Fluchtunfälle,Verletzte und Getötete,2012,07,64.0
1128,Fluchtunfälle,Verletzte und Getötete,2012,08,64.0
1129,Fluchtunfälle,Verletzte und Getötete,2012,09,61.0
1130,Fluchtunfälle,Verletzte und Getötete,2012,10,61.0
1131,Fluchtunfälle,Verletzte und Getötete,2012,11,49.0
1132,Fluchtunfälle,Verletzte und Getötete,2012,12,23.0
1134,Fluchtunfälle,Verletzte und Getötete,2011,01,26.0
1135,Fluchtunfälle,Verletzte und Getötete,2011,02,26.0
1136,Fluchtunfälle,Verletzte und Getötete,2011,03,32.0
1137,Fluchtunfälle,Verletzte und Getötete,2011,04,55.0
1138,Fluchtunfälle,Verletzte und Getötete,2011,05,68.0
1139,Fluchtunfälle,Verletzte und Getötete,2011,06,49.0
1140,Fluchtunfälle,Verletzte und Getötete,2011,07,56.0
1141,Fluchtunfälle,Verletzte und Getötete,2011,08,35.0
1142,Fluchtunfälle,Verletzte und Getötete,2011,09,52.0
1143,Fluchtunfälle,Verletzte und Getötete,2011,10,36.0
1144,Fluchtunfälle,Verletzte und Getötete,2011,11,33.0
1145,Fluchtunfälle,Verletzte und Getötete,2011,12,30.0
1147,Fluchtunfälle,Verletzte und Getötete,2010,01,17.0
1148,Fluchtunfälle,Verletzte und Getötete,2010,02,21.0
1149,Fluchtunfälle,Verletzte und Getötete,2010,03,29.0
1150,Fluchtunfälle,Verletzte und Getötete,2010,04,41.0
1151,Fluchtunfälle,Verletzte und Getötete,2010,05,31.0
1152,Fluchtunfälle,Verletzte und Getötete,2010,06,57.0
1153,Fluchtunfälle,Verletzte und Getötete,2010,07,65.0
1154,Fluchtunfälle,Verletzte und Getötete,2010,08,48.0
1155,Fluchtunfälle,Verletzte und Getötete,2010,09,42.0
1156,Fluchtunfälle,Verletzte und Getötete,2010,10,49.0
1157,Fluchtunfälle,Verletzte und Getötete,2010,11,33.0
1158,Fluchtunfälle,Verletzte und Getötete,2010,12,23.0
1160,Fluchtunfälle,Verletzte und Getötete,2009,01,22.0
1161,Fluchtunfälle,Verletzte und Getötete,2009,02,35.0
1162,Fluchtunfälle,Verletzte und Getötete,2009,03,20.0
1163,Fluchtunfälle,Verletzte und Getötete,2009,04,43.0
1164,Fluchtunfälle,Verletzte und Getötete,2009,05,49.0
1165,Fluchtunfälle,Verletzte und Getötete,2009,06,34.0
1166,Fluchtunfälle,Verletzte und Getötete,2009,07,61.0
1167,Fluchtunfälle,Verletzte und Getötete,2009,08,40.0
1168,Fluchtunfälle,Verletzte und Getötete,2009,09,37.0
1169,Fluchtunfälle,Verletzte und Getötete,2009,10,47.0
1170,Fluchtunfälle,Verletzte und Getötete,2009,11,34.0
1171,Fluchtunfälle,Verletzte und Getötete,2009,12,37.0
1173,Fluchtunfälle,Verletzte und Getötete,2008,01,27.0
1174,Fluchtunfälle,Verletzte und Getötete,2008,02,29.0
1175,Fluchtunfälle,Verletzte und Getötete,2008,03,25.0
1176,Fluchtunfälle,Verletzte und Getötete,2008,04,41.0
1177,Fluchtunfälle,Verletzte und Getötete,2008,05,57.0
1178,Fluchtunfälle,Verletzte und Getötete,2008,06,59.0
1179,Fluchtunfälle,Verletzte und Getötete,2008,07,48.0
1180,Fluchtunfälle,Verletzte und Getötete,2008,08,55.0
1181,Fluchtunfälle,Verletzte und Getötete,2008,09,48.0
1182,Fluchtunfälle,Verletzte und Getötete,2008,10,46.0
1183,Fluchtunfälle,Verletzte und Getötete,2008,11,27.0
1184,Fluchtunfälle,Verletzte und Getötete,2008,12,27.0
1186,Fluchtunfälle,Verletzte und Getötete,2007,01,19.0
1187,Fluchtunfälle,Verletzte und Getötete,2007,02,33.0
1188,Fluchtunfälle,Verletzte und Getötete,2007,03,20.0
1189,Fluchtunfälle,Verletzte und Getötete,2007,04,43.0
1190,Fluchtunfälle,Verletzte und Getötete,2007,05,48.0
1191,Fluchtunfälle,Verletzte und Getötete,2007,06,50.0
1192,Fluchtunfälle,Verletzte und Getötete,2007,07,59.0
1193,Fluchtunfälle,Verletzte und Getötete,2007,08,39.0
1194,Fluchtunfälle,Verletzte und Getötete,2007,09,41.0
1195,Fluchtunfälle,Verletzte und Getötete,2007,10,49.0
1196,Fluchtunfälle,Verletzte und Getötete,2007,11,46.0
1197,Fluchtunfälle,Verletzte und Getötete,2007,12,29.0
1199,Fluchtunfälle,Verletzte und Getötete,2006,01,31.0
1200,Fluchtunfälle,Verletzte und Getötete,2006,02,33.0
1201,Fluchtunfälle,Verletzte und Getötete,2006,03,34.0
1202,Fluchtunfälle,Verletzte und Getötete,2006,04,25.0
1203,Fluchtunfälle,Verletzte und Getötete,2006,05,33.0
1204,Fluchtunfälle,Verletzte und Getötete,2006,06,40.0
1205,Fluchtunfälle,Verletzte und Getötete,2006,07,78.0
1206,Fluchtunfälle,Verletzte und Getötete,2006,08,40.0
1207,Fluchtunfälle,Verletzte und Getötete,2006,09,66.0
1208,Fluchtunfälle,Verletzte und Getötete,2006,10,43.0
1209,Fluchtunfälle,Verletzte und Getötete,2006,11,38.0
1210,Fluchtunfälle,Verletzte und Getötete,2006,12,44.0
1212,Fluchtunfälle,Verletzte und Getötete,2005,01,24.0
1213,Fluchtunfälle,Verletzte und Getötete,2005,02,22.0
1214,Fluchtunfälle,Verletzte und Getötete,2005,03,33.0
1215,Fluchtunfälle,Verletzte und Getötete,2005,04,45.0
1216,Fluchtunfälle,Verletzte und Getötete,2005,05,52.0
1217,Fluchtunfälle,Verletzte und Getötete,2005,06,53.0
